cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,região,ibge,gia,ddd,siafi
57010-065,Condomínio Canto dos Pássaros I,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-000,Avenida Siqueira Campos,até 959 - lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-052,Rua Álvaro Marinho,de 205/206 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-105,Rua Coronel Mendes da Fonseca,de 577/578 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-130,Rua Dona Rosa da Fonseca,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-085,Rua São João,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-060,Avenida Amazonas,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-110,Praça Custódio de Melo,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-140,Rua Edgar de Góes Monteiro,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-032,Conjunto São Jorge,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-091,Rua Caramurus,até 447/448,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-020,Parque Municipal Doutor Afrânio Jorge,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-135,Travessa Dona Rosa da Fonseca,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-003,Avenida Siqueira Campos,de 970 a 1598 - lado par,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-072,Travessa Assis Chateaubriand,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-062,Vila Amazonas,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-070,Avenida Assis Chateaubriand,de 2578/2579 a 3699/3700,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-015,Rua Santos Pacheco,de 313/314 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-120,Rua Radialista Haroldo Miranda,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-087,Vila Josefa Matias,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-035,Rua Augusto Vaz da Silva,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-030,Rua Almirante Tamandaré,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-040,Rua Álvares Cabral,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-010,Rua Acadêmico José Macêdo França,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-145,Travessa Edgar de Goes Monteiro,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-050,Rua Álvaro Marinho,até 203/204,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-001,Avenida Siqueira Campos,de 977 a 1637 - lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-080,Rua Bento Craveiro Barbosa,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-090,Rua Caramurus,de 501/502 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-147,Travessa Areias,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-190,Rua Zacarias de Azevedo,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-157,Travessa Manaus,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-248,Rua Boa Vista,lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-150,Rua João Lício Marques,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-260,Rua Franco Jatobá,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-225,Rua Vinte e Um de Abril,até 393/394,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-264,Rua Professor Paulo Senouillet,de 240/241 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-240,Rua Desembargador Inocêncio Lins,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-220,Rua Vinte e Um de Abril,de 403/404 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-210,Rua Thomé Rocha de Souza Leão,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-268,Rua Tabelião Euricles Protásio,até 136/137,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-272,Rua Pio XII,até 128 - lado par,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-161,Avenida Professor Loureiro,de 91/92 a 568/569,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-262,Rua Monsenhor Luiz Barbosa,até 141/142,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-256,Travessa Professor Luiz Carlos Souza Neto,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-172,Vila Manoel Tenório de Moura,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-266,Rua São Luiz,de 412/413 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-250,Rua Doutor João Eulálio,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-350,Rua do Ceará,de 94/95 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-322,Avenida Doutor Miguel Omena,de 211/212 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-369,Rua Primeiro de Maio,de 98/99 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-290,Rua Lourival Vieira Costa,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-180,Rua Miramar,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-274,Avenida Roberto Pontes Lima,lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-230,Rua Conselheiro Francisco Vieira,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-295,Praça do Pirulito,de 114 ao fim - lado par,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-200,Rua Sargento Jayme Pantaleão,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-246,Rua Santa Catarina,de 253/254 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-254,Rua José Leopoldino de Oliveira,até 250/251,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-252,Rua Professor Luiz Carlos de Souza Neto,até 374/375,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-160,Avenida Professor Loureiro,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-368,Rua Agnelo Barbosa,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-265,Rua Desembargador Anthero Medeiros,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-291,Avenida Vieira Perdigão,lado par,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-330,Rua Piauí,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-370,Rua Vinte e Oito de Setembro,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-300,Rua Comendador Teixeira Bastos,de 151 ao fim - lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-244,Rua Virgílio Guedes,até 1625 - lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-373,Praça Pingo D'Água,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-340,Travessa dos Confidentes,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-360,Travessa Calabar,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-366,Rua Xavier de Brito,até 1180/1181,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-258,Rua Tiradentes,de 368/369 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-371,Avenida Assis Chateaubriand,de 3710/3711 a 4999/5000,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-324,Rua Professora Maria José Loureiro Lima,de 90/91 ao fim,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-270,Travessa Franco Jatobá II,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-364,Rua Xavier de Brito,de 1209 a 1325 - lado ímpar,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-375,Rua Coronel Adauto Barbosa,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-377,Rua Capitão Cantuário,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-384,Rua Professor Teonilo Gama,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-374,Rua Aminadab Valente,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-380,Rua Doutor Paulo Neto,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-470,Rua Benjamin Constant,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-386,Condomínio Residencial Vila dos Pescadores,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-381,Rua Coronel Serafim Dutra Cavalcante,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-415,Avenida Siqueira Campos,de 2251 ao fim - lado ímpar,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-400,Rua Guilherme Rogato,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-430,Rua Cônego Fernando Lyra,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-410,Rua Oséas Sarmento Rosas,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-450,Rua Francisco Vieira,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-378,Travessa Capitão Cantuário,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-460,Travessa Francisco Vieira,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-390,Rua Ubirajara,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-170,Rua Maranhão,,,Prado,Maceió,AL,Alagoas,,2704302,,82,2785
57010-395,Avenida Siqueira Campos,de 2666 ao fim - lado par,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-445,Travessa Riachuelo,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-480,Avenida Senador Rui Palmeira,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-376,Rua Ary Pitombo,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-440,Rua Riachuelo,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-520,Rua Sebastião Vasconcelos,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-405,Avenida Siqueira Campos,de 1639 a 2249 - lado ímpar,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-530,Rua Benigno Bezerra,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-590,Rua Guarda-Civil Manoel Leandro,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-475,Travessa Benjamin Constant,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-510,Rua Itamarati,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-383,Rua Professor Luiz Lavenere Machado,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-420,Rua José Alves Barbosa,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-610,Rua João Lins Cedrim,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-612,Rua Xavier de Brito,de 1320/1321 ao fim,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-500,Rua Antônio Raimundo de Lima,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-490,Rua Padre Silvestre Vedregoor,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-382,Avenida Jorge de Lima,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-688,Rua Bom Jesus dos Navegantes,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-618,Rua Monsenhor Luiz Barbosa,de 143/144 ao fim,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-680,Rua Boa Viagem,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-720,Rua José Ferreira,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-702,Rua A,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-704,Rua B,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-708,Rua D,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-703,Rua Santa Margarida,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-540,Rua Professor Almeida Leite,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-716,Rua G,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-714,Rua F,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-706,Rua C,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-710,Rua Doze de Outubro,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-715,Rua V,(Cj Virgem dos Pobres II),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-620,Rua Manoel Moura,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-570,Vila São José,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-692,2ª Travessa Bom Jesus dos Navegantes,,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-721,Rua H,(Cj Lenita Vilela),,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
57010-645,Avenida Siqueira Campos,de 1600 a 2664 - lado par,,Trapiche da Barra,Maceió,AL,Alagoas,,2704302,,82,2785
